Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0V8gliTnW5GCFHF8wj2pnG,"Orient Silence","Orient Silence","Mellow Melt",2025-10-31,149125,57,false,,2025-12-12T04:00:19Z,"lo-fi","Mellow Melt",0.403,0.0593,7,-27.955,0,0.0279,0.926,0.896,0.0907,0.114,60.06,4
spotify:track:385fgx1lcfPAypihGYYfTT,"peaceful","peaceful","Lil Leaf",2025-10-26,149700,58,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi beats","Chill Caterpillar",0.59,0.174,3,-25.654,1,0.0622,0.932,0.895,0.104,0.242,99.965,4
spotify:track:2HaVN8CFGEufCHt4CWUQnK,"Triangle Luck","Triangle Luck","Duos On Mars",2025-11-14,162580,58,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","Overtone Studios",0.65,0.0439,7,-18.329,0,0.0409,0.824,0.935,0.0756,0.366,62.011,4
spotify:track:57VbofiK1Eo7t0p8KbrpDq,"Wandering Haze","Wandering Haze","Tooslo",2025-08-22,148152,63,false,,2025-12-12T04:00:19Z,"lo-fi","Tooslo",0.621,0.0685,7,-21.465,1,0.0307,0.884,0.914,0.116,0.0749,91.029,4
spotify:track:3m5jVCSYM6fPp8g4aWhdN8,"End of Starts","End of Starts","Mellow Mirror",2025-12-05,132801,43,false,,2025-12-12T04:00:19Z,"lo-fi","Mellow Mirror",0.804,0.0545,1,-16.358,1,0.0972,0.958,0.931,0.119,0.0999,123.987,4
spotify:track:2CZf8wYy8bkDYDnEyBiA2J,"florale","florale","jean opal",2025-08-22,142222,62,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi beats","jean opal",0.557,0.021,3,-25.824,0,0.0416,0.968,0.884,0.108,0.338,108.033,4
spotify:track:55mSGigZFY4BETnc0pJoKM,"pillowloop","pillowloop","Analogue Alf",2025-08-29,114227,63,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","Analogue Alf",0.707,0.242,9,-19.807,0,0.0366,0.65,0.917,0.11,0.248,80.965,4
spotify:track:2VuL7nGbgTYHsDDBtxZZGq,"Morning Light","Morning Light","Golden Mist",2025-11-09,125806,64,false,,2025-12-12T04:00:19Z,"lo-fi","Chill Caterpillar",0.699,0.132,3,-16.518,1,0.0369,0.946,0.93,0.103,0.298,123.946,4
spotify:track:1TAyi2YdPbbNYSULs0EXbP,"fade","fade","Beats on 21st",2025-03-09,147106,59,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","Chill Caterpillar",0.701,0.15,2,-20.259,0,0.0339,0.907,0.938,0.107,0.105,102.01,4
spotify:track:12Vgtv9Ojfv8eN6DY3s6dQ,"did you call me?","did you call me?","heirloom",2025-11-30,118578,43,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","Chill Caterpillar",0.779,0.0222,4,-18.668,0,0.0539,0.949,0.924,0.0556,0.387,121.973,4
spotify:track:513MdRzWL0kO9JXmXGv6C6,"Mostly Mine","Mostly Mine","Phlo X",2025-11-23,156197,50,false,,2025-12-12T04:00:19Z,"","Phlo X",0.702,0.0908,6,-23.264,1,0.053,0.558,0.939,0.0977,0.613,119.99,4
spotify:track:45PYuZOIYoote39ZCjlmB2,"Hazel","Hazel","nate2timez",2025-10-17,125538,56,false,,2025-12-12T04:00:19Z,"dark ambient,lo-fi","Score a Score",0.553,0.0923,7,-26.561,1,0.0324,0.947,0.927,0.106,0.0489,130.025,4
spotify:track:2ghWOTwCFmH9gcEqUze4A1,"Cloud Drift","Cloud Drift","entsy",2025-05-23,133333,60,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","Calm Lands Music",0.54,0.144,1,-20.956,1,0.0375,0.911,0.878,0.124,0.162,81.033,3
spotify:track:3grDCNoz10P59lIs1JLbvi,"Blume","Blume","Spring Bingo",2025-05-30,154714,57,false,,2025-12-12T04:00:19Z,"lo-fi","Spring Bingo",0.572,0.0775,4,-24.33,0,0.0426,0.833,0.89,0.105,0.111,140.088,4
spotify:track:0OpsPckPFX5t1fEvPUDeER,"in a haze","in a haze","Kaptain Kola",2025-03-09,116923,58,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi beats","Chill Caterpillar",0.722,0.0742,1,-19.892,1,0.157,0.917,0.954,0.107,0.448,77.986,3
spotify:track:7xGt3D9WriNbOMpL9mpwtH,"Log","Log","Pacific Moods",2025-08-29,128000,58,false,,2025-12-12T04:00:19Z,"","Pacific Moods",0.582,0.0717,0,-20.02,1,0.0425,0.891,0.888,0.393,0.352,60.006,4
spotify:track:4qR6uehVA36HgGDSUdCCUv,"peach cordial","peach cordial","lilibu",2025-05-18,137484,56,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi beats","Chill Caterpillar",0.665,0.0573,2,-13.885,0,0.0478,0.892,0.859,0.587,0.284,66.991,4
spotify:track:1RfperHZ11qKktnKKyjkGm,"Sketchbook","Sketchbook","Zeitgeister",2025-10-05,113534,55,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","Zeitgeister",0.786,0.0694,1,-22.712,1,0.0325,0.969,0.895,0.103,0.145,108.041,4
spotify:track:4K9JZ7uvEfBuquS7r2k8SM,"headway","happiness","morningtime;Blue Wednesday",2024-08-26,139000,56,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi beats,lo-fi hip hop","Lofi Records",0.699,0.23,11,-22.228,1,0.0548,0.92,0.924,0.126,0.424,123.955,4
spotify:track:65coIDNjNROuR0xGKC6xnB,"Soft Breeze","Soft Breeze","herman.",2025-09-05,164000,55,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi hip hop","herman.",0.708,0.0226,8,-24.881,1,0.0358,0.965,0.94,0.105,0.127,120.014,4
spotify:track:1XzURP8Kqghwdzw1Q3aABz,"Isular","Isular","lorleaf",2024-09-13,92841,59,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi,jazz beats","The Theory Behind",0.798,0.144,4,-12.798,0,0.2,0.452,0.943,0.0968,0.262,78.983,1
spotify:track:18IYE5it2VcLZfXiloYBS2,"for norah","for norah","mellow days;very noise person;Somebuddy",2025-10-03,114539,55,false,,2025-12-12T04:00:19Z,"jazz beats,lo-fi,lo-fi beats","Yawn Label",0.833,0.059,0,-24.911,1,0.102,0.96,0.8,0.0971,0.112,124.098,4
spotify:track:1KFJ8EotYsIJ71UsYth7Wh,"Tangerine","Tangerine","jzbts",2025-04-13,112977,55,false,,2025-12-12T04:00:19Z,"","jzbts",0.43,0.0334,0,-25.407,1,0.0396,0.627,0.918,0.111,0.154,118.992,4
spotify:track:0iHmdJI6aSAPzNBD3i1ns5,"Laissez-Faire","Laissez-Faire","Cloudroom",2025-08-27,128142,63,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","Golden Hour",0.84,0.122,0,-14.526,1,0.0499,0.375,0.908,0.134,0.231,140.117,4
spotify:track:7ErxU5X7uQpatgORcdcTba,"Fading Into Memories","Fading Into Memories","Krynoze;so.tired",2025-11-14,120000,54,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi hip hop,lo-fi beats","into trembling silence",0.551,0.105,1,-25.018,1,0.0323,0.92,0.935,0.111,0.0604,84.013,4
spotify:track:6vIP0ju95U92HjqnHSushK,"monday coffee","monday coffee","Jazzamass",2025-07-11,130750,61,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi beats","Montagne Flum",0.701,0.068,1,-28.413,1,0.0439,0.935,0.84,0.108,0.413,119.894,4
spotify:track:4RvxAZ9aYCmxGhnmQVowLd,"Ash & Echoes","Ash & Echoes","Quinn Rain",2025-04-11,118965,55,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi beats","Quinn Rain",0.636,0.0229,4,-25.633,0,0.0388,0.939,0.928,0.101,0.166,116.108,4
